"object_id0","Col","Lin","c_AWetric","c_AWMetric","c_CAMetric","c_EDMetric","c_LSMetric","c_MPetric","c_MPetri_1","c_MPMetric","c_MSMetric","c_PDMetric","c_PentLand","c_PSMetric","c_PSetric","deci_class","padrao"
"C00L00",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,"floresta"
"C00L01",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L02",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L03",0,3,0.007437687,NA,57.9474,0.6316968,0.1781984,0.01063953,2.54545,28.9737,1.611928,0.02,0.00579474,33.68745,9.7605,1,"difuso"
"C00L04",0,4,0,0,0,0,0,0,0,NA,0,0,NA,0,0,1,"floresta"
"C00L05",0,5,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,"floresta"
"C00L06",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L07",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L08",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L09",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L10",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L11",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L12",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L13",0,13,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L14",0,14,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L15",0,15,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,"floresta"
"C00L16",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L17",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L18",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L19",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L20",0,20,0.004736236,0.004593031,38.718,0.2616663,0.0738147,0.00675826,1.223265,38.718,1.186278,0.01,0.0038718,1.5e-14,6e-15,1,"difuso"
"C00L21",0,21,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,"floresta"
"C00L22",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L23",0,23,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,"floresta"
"C00L24",0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L25",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L26",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L27",0,27,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,"floresta"
"C00L28",0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L29",0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L30",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C00L31",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L00",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L01",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L02",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L03",1,3,0.003697374,0.000875681,29.4273,0.4549196,0.1283304,0.01559721,5.024256,7.356825,1.183651,0.04,0.00294273,16.58073,1.219815,1,"difuso"
"C01L04",1,4,0.000788534,0.000691855,6.3342,0.09744821,0.02748963,0.01538445,1.244884,6.3342,1.092252,0.01,0.00063342,0,0,1,"difuso"
"C01L05",1,5,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,"floresta"
"C01L06",1,6,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,"floresta"
"C01L07",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L08",1,8,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,"floresta"
"C01L09",1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L10",1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L11",1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L12",1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L13",1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L14",1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L15",1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L16",1,16,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,"floresta"
"C01L17",1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L18",1,18,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,"floresta"
"C01L19",1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L20",1,20,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,"floresta"
"C01L21",1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L22",1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L23",1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L24",1,24,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,"floresta"
"C01L25",1,25,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L26",1,26,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,"floresta"
"C01L27",1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
"C01L28",1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"floresta"
